PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Kohler, JK; Grotevant, HD; McRoy, RG										Adopted adolescents' preoccupation with adoption: The impact on adoptive family relationships								JOURNAL OF MARRIAGE AND FAMILY				64	1			93	104				10.1111/j.1741-3737.2002.00093.x							Article	FEB 2002	2002										58	0	1	0	2	2	73			0022-2445															2002-02-01	WOS:000173835400009		
J	Kraaykamp, G				Kraaykamp, Gerbert/D-1017-2012	Kraaykamp, Gerbert/0000-0001-5692-1907					Trends and countertrends in sexual permissiveness: Three decades of attitude change in the Netherlands 1965-1995								JOURNAL OF MARRIAGE AND FAMILY				64	1			225	239				10.1111/j.1741-3737.2002.00225.x							Article	FEB 2002	2002										38	0	0	0	3	0	42			0022-2445															2002-02-01	WOS:000173835400020		
J	Kulczycki, A; Lobo, AP										Patterns, determinants, and implications of intermarriage among Arab Americans								JOURNAL OF MARRIAGE AND FAMILY				64	1			202	210				10.1111/j.1741-3737.2002.00202.x							Article	FEB 2002	2002										47	0	0	0	1	0	70			0022-2445	1741-3737														2002-02-01	WOS:000173835400018		
J	Kurdek, LA										Predicting the timing of separation and marital satisfaction: An eight-year prospective longitudinal study								JOURNAL OF MARRIAGE AND FAMILY				64	1			163	179				10.1111/j.1741-3737.2002.00163.x							Article	FEB 2002	2002										31	0	0	0	2	1	54			0022-2445															2002-02-01	WOS:000173835400015		
J	Lavee, Y; Katz, R					Lavee, Yoav/0000-0001-9578-0772					Divison of labor, perceived fairness, and marital quality: The effect of gender ideology								JOURNAL OF MARRIAGE AND FAMILY				64	1			27	39				10.1111/j.1741-3737.2002.00027.x							Article	FEB 2002	2002										147	1	0	0	3	2	207			0022-2445															2002-02-01	WOS:000173835400004		
J	Lee, J										From civil relations to racial conflict: Merchant-customer interactions in urban America								AMERICAN SOCIOLOGICAL REVIEW				67	1			77	98				10.2307/3088934							Article; Proceedings Paper	FEB 2002	2002						Annual Meeting of the American-Sociological-AssociationAnnual Meeting of the American-Sociological-Association	AUG 18-21, 2001AUG 18-21, 2001	Amer Sociol AssocAmer Sociol Assoc	ANAHEIM, CALIFORNIAANAHEIM, CALIFORNIA	33	0	0	0	1	0	43			0003-1224															2002-02-01	WOS:000174242300004		
J	Massey, DS										A brief history of human society: The origin and role of emotion in social life								AMERICAN SOCIOLOGICAL REVIEW				67	1			1	29				10.2307/3088931							Editorial Material	FEB 2002	2002										186	1	4	0	4	3	240			0003-1224	1939-8271														2002-02-01	WOS:000174242300001		
J	McLoyd, VC; Smith, J										Physical discipline and behavior problems in African American, European American, and Hispanic children: Emotional support as a moderator								JOURNAL OF MARRIAGE AND FAMILY				64	1			40	53				10.1111/j.1741-3737.2002.00040.x							Article	FEB 2002	2002										259	0	0	0	20	3	368			0022-2445															2002-02-01	WOS:000173835400005		
J	Murray, CI										Parental grief: Narratives of loss and relationship.								JOURNAL OF MARRIAGE AND FAMILY				64	1			276	277											Book Review	FEB 2002	2002										0	0	0	0	0	0	0			0022-2445															2002-02-01	WOS:000173835400029		
J	Oyserman, D; Bybee, D; Mowbray, CT; MacFarlane, P				Oyserman, Daphna/U-3207-2019	Oyserman, Daphna/0000-0002-2727-2167					Positive parenting among African American mothers with a serious mental illness								JOURNAL OF MARRIAGE AND FAMILY				64	1			65	77				10.1111/j.1741-3737.2002.00065.x							Article	FEB 2002	2002										17	0	0	0	0	0	31			0022-2445	1741-3737														2002-02-01	WOS:000173835400007		
