PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
S	von Hippel, Paul T.					von Hippel, Paul/0000-0003-4498-4374	Xie, Y				REGRESSION WITH MISSING YS: AN IMPROVED STRATEGY FOR ANALYZING MULTIPLY IMPUTED DATA								SOCIOLOGICAL METHODOLOGY 2007, VOL 37		Sociological Methodology		37				83	117				10.1111/j.1467-9531.2007.00180.x							Article; Book Chapter	2007	2007										1181	0	0	0	152	1	1361			0081-1750		978-1-4051-7624-8													2007-01-01	WOS:000268397700004		
S							Xie, Y				Sociological Methodology 2007, Vol 37								SOCIOLOGICAL METHODOLOGY 2007, VOL 37		Sociological Methodology		37				1	455											Book	2007	2007										0	0	0		0	0	0			0081-1750		978-1-4051-7624-8													2007-01-01	WOS:000268397700012		
J	Yair, Gad				Yair, Gad/C-5297-2009	Yair, Gad/0000-0001-9675-332X; Yair, Gad/0000-0003-3376-1132					The disenchantment of the orient: Expertise in Arab affairs and the Israeli state.								AMERICAN JOURNAL OF SOCIOLOGY				112	4			1252	1254				10.1086/513541							Book Review	JAN 2007	2007										0	0	0	0	0	0	0			0002-9602															2007-01-01	WOS:000244636300011		
S	Yuan, Ke-Hai; Bentler, Peter M.						Xie, Y				MULTILEVEL COVARIANCE STRUCTURE ANALYSIS BY FITTING MULTIPLE SINGLE-LEVEL MODELS								SOCIOLOGICAL METHODOLOGY 2007, VOL 37		Sociological Methodology		37				53	82				10.1111/j.1467-9531.2007.00182.x							Article; Book Chapter	2007	2007										70	2	0	0	5	0	89			0081-1750		978-1-4051-7624-8													2007-01-01	WOS:000268397700003		
J	Ziberna, Ales				Ziberna, Ales/C-3809-2008	Ziberna, Ales/0000-0003-1534-6971					Generalized blockmodeling of valued networks								SOCIAL NETWORKS				29	1			105	126				10.1016/j.socnet.2006.04.002							Article	JAN 2007	2007										45	1	0	0	2	1	57			0378-8733	1879-2111														2007-01-01	WOS:000244397100009		
J	Adamczyk, Amy; Felson, Jacob										Friends' religiosity and first sex								SOCIAL SCIENCE RESEARCH				35	4			924	947				10.1016/j.ssresearch.2005.04.003							Article	DEC 2006	2006										61	0	0	0	1	0	90			0049-089X	1096-0317														2006-12-01	WOS:000242328600007		
J	Armenia, Amy; Gerstel, Naomi										Family leaves, the FMLA and gender neutrality: The intersection of race and gender								SOCIAL SCIENCE RESEARCH				35	4			871	891				10.1016/j.ssresearch.2004.12.002							Article; Proceedings Paper	DEC 2006	2006						95th Annual Meeting of the American-Sociological-Association95th Annual Meeting of the American-Sociological-Association	AUG 11-16, 2000AUG 11-16, 2000	Amer Sociol AssocAmer Sociol Assoc	Washington, DCWashington, DC	21	0	0	0	0	0	34			0049-089X	1096-0317														2006-12-01	WOS:000242328600005		
J	Baiocchi, Gianpaolo					Baiocchi, Gianpaolo/0000-0003-2862-7422					The civilizing force of social movements: Corporate and liberal codes in Brazil's public sphere								SOCIOLOGICAL THEORY				24	4			285	311				10.1111/j.1467-9558.2006.00292.x							Review	DEC 2006	2006										25	0	0	0	0	4	35			0735-2751	1467-9558														2006-12-01	WOS:000241917200001		
J	Bandy, Joe										Frames of protest: Social movements and the framing perspective								SOCIAL FORCES				85	2			1048	1050											Book Review	DEC 2006	2006										0	0	0	0	0	0	0			0037-7732															2006-12-01	WOS:000243494000026		
J	Beckfield, Jason										European integration and income inequality								AMERICAN SOCIOLOGICAL REVIEW				71	6			964	985				10.1177/000312240607100605							Article	DEC 2006	2006										145	0	0	0	1	1	167			0003-1224	1939-8271														2006-12-01	WOS:000243457300005		
J	Best, Amy L.										The empty cradle of democracy: Sex, abortion, and nationalism in modern Greece								SOCIAL FORCES				85	2			1039	1040				10.1353/sof.2007.0001							Book Review	DEC 2006	2006										0	0	0	0	0	0	0			0037-7732															2006-12-01	WOS:000243494000020		
J	Bloemraad, Irene					Bloemraad, Irene/0000-0001-7167-2582					Becoming a citizen in the United States and Canada: Structured mobilization and immigrant political incorporation								SOCIAL FORCES				85	2			667	695				10.1353/sof.2007.0002							Article	DEC 2006	2006										164	0	0	0	2	1	217			0037-7732	1534-7605														2006-12-01	WOS:000243494000004		
