PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Conley, D										Race, money, and the American welfare state.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1790	1791				10.1086/210488							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200026		
J	Craig, M										The most beautiful girl in the world: Beauty pageants and national identity.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1805	1806				10.1086/210496							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200034		
J	England, P; Hermsen, JM; Cotter, DA				Hermsen, Joan/AAB-3491-2020						The devaluation of women's work: A comment on Tam								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1741	1751				10.1086/210471							Article	MAY 2000	2000										66	0	1	0	1	0	82			0002-9602															2000-05-01	WOS:000088740200009		
J	Ericksen, JA										Teaching America about sex: Marriage guides and sex manuals from the late Victorians to Dr. Ruth.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1807	1808				10.1086/210497							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200035		
J	Falzon, L					Falzon, Lucia/0000-0003-3134-4351					Determining groups from the clique structure in large social networks								SOCIAL NETWORKS				22	2			159	172				10.1016/S0378-8733(00)00021-6							Article	MAY 2000	2000										17	0	0	0	0	0	21			0378-8733															2000-05-01	WOS:000087268000004		
J	Fuchs, S										Problems of form.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1814	1816				10.1086/210501							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200039		
J	Goldthorpe, JH										Rent, class conflict, and class structure: A commentary on Sorensen								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1572	1582				10.1086/210465							Editorial Material	MAY 2000	2000										43	0	2	0	0	1	47			0002-9602															2000-05-01	WOS:000088740200003		
J	Grzywacz, JG; Marks, NF					Grzywacz, Joseph/0000-0002-2308-7781					Family, work, work-family spillover, and problem drinking during midlife								JOURNAL OF MARRIAGE AND FAMILY				62	2			336	348				10.1111/j.1741-3737.2000.00336.x							Article	MAY 2000	2000										148	1	0	0	14	2	207			0022-2445	1741-3737														2000-05-01	WOS:000087306700004		
J	Hall, PD										After heaven: Spirituality in America since the 1950s.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1801	1803				10.1086/210494							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200032		
J	Healy, K					Healy, Kieran/0000-0001-9114-981X					Embedded altruism: Blood collection regimes and the European Union's donor population								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1633	1657				10.1086/210468							Article; Proceedings Paper	MAY 2000	2000						Annual Meeting of the American-Sociological-AssociationAnnual Meeting of the American-Sociological-Association	AUG 20-25, 1998AUG 20-25, 1998	Amer Sociol AssocAmer Sociol Assoc	SAN FRANCISCO, CALIFORNIASAN FRANCISCO, CALIFORNIA	168	0	1	0	29	3	194			0002-9602															2000-05-01	WOS:000088740200006		
J	Hodson, R										The discipline of teamwork: Participation and concertive control.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1770	1772				10.1086/210478							Book Review	MAY 2000	2000										0	0	0	0	0	0	1			0002-9602															2000-05-01	WOS:000088740200016		
J	Huston, TL										The social ecology of marriage and other intimate unions								JOURNAL OF MARRIAGE AND FAMILY				62	2			298	320				10.1111/j.1741-3737.2000.00298.x							Article	MAY 2000	2000										124	0	0	0	1	1	188			0022-2445	1741-3737														2000-05-01	WOS:000087306700002		
J	Le Espiritu, Y										Asian/American: Historical crossings of a racial frontier.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1767	1768											Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200014		
J	Lee, CK					Lee, Ching Kwan/0000-0003-0672-5283					Dragon in a three-piece suit: The emergence of capitalism in China.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1776	1778				10.1086/210481							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200019		
J	Manning, PK										Mission improbable: Using fantasy documents to tame disaster.								AMERICAN JOURNAL OF SOCIOLOGY				105	6			1812	1814				10.1086/210500							Book Review	MAY 2000	2000										0	0	0	0	0	0	0			0002-9602															2000-05-01	WOS:000088740200038		
