PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Fisher, DR; Freudenburg, WR										Post industrialization and environmental quality: An empirical analysis of the environmental state. (vol 83, pg 157, 2004)								SOCIAL FORCES				83	4			1793	1796											Correction	JUN 2005	2005										0	0	0	0	0	0	0			0037-7732															2005-06-01	WOS:000231711800038		
J	Foran, J										The unthinkable revolution in Iran.								SOCIAL FORCES				83	4			1774	1776				10.1353/sof.2005.0065							Book Review	JUN 2005	2005										1	0	0	0	0	1	1			0037-7732															2005-06-01	WOS:000231711800027		
J	Hagan, J; Shedd, C; Payne, MR					Payne Pikus, Monique/0009-0004-3246-8748					Race, ethnicity, and youth perceptions of criminal injustice								AMERICAN SOCIOLOGICAL REVIEW				70	3			381	407				10.1177/000312240507000302							Article	JUN 2005	2005										341	0	0	0	5	1	461			0003-1224	1939-8271														2005-06-01	WOS:000230529700002		
J	Hagan, J; Levi, R										Crimes of war and the force of law								SOCIAL FORCES				83	4			1499	1534				10.1353/sof.2005.0066							Article	JUN 2005	2005										94	0	0	0	0	1	104			0037-7732	1534-7605														2005-06-01	WOS:000231711800008		
J	Hartmann, D; Gerteis, J					hartmann, doug/0000-0002-6436-2209; Gerteis, Joseph/0000-0001-7092-8101					Dealing with diversity: Mapping multiculturalism in sociological terms								SOCIOLOGICAL THEORY				23	2			218	240				10.1111/j.0735-2751.2005.00251.x							Review	JUN 2005	2005										114	0	2	0	0	2	147			0735-2751	1467-9558														2005-06-01	WOS:000229080600005		
J	Herd, P										Reforming a breadwinner welfare state: Gender, race, class, and social security reform								SOCIAL FORCES				83	4			1365	1393				10.1353/sof.2005.0067							Article	JUN 2005	2005										26	0	0	0	0	0	33			0037-7732															2005-06-01	WOS:000231711800003		
J	Hofferth, SL; Stanhope, S; Harris, K										Remaining off welfare in the 1990s: the influence of public policy and economic conditions								SOCIAL SCIENCE RESEARCH				34	2			426	453				10.1016/j.ssresearch.2004.04.005							Article	JUN 2005	2005										21	0	0	0	0	0	24			0049-089X	1096-0317														2005-06-01	WOS:000229512100008		
J	Hooks, G; Mosher, C				Hooks, Gregory/R-7515-2019						Outrages against personal dignity: Rationalizing abuse and torture in the war on terror								SOCIAL FORCES				83	4			1627	1645				10.1353/sof.2005.0068							Article	JUN 2005	2005										38	0	0	0	0	0	50			0037-7732	1534-7605														2005-06-01	WOS:000231711800012		
J	Kotamraju, NP										Smart mobs: The next social revolution: Transforming cultures and communities in the age of instant access.								SOCIAL FORCES				83	4			1765	1767				10.1353/sof.2005.0069							Book Review	JUN 2005	2005										2	0	0	0	0	0	2			0037-7732															2005-06-01	WOS:000231711800021		
J	Laubach, M										Consent, informal organization and job rewards: A mixed methods analysis								SOCIAL FORCES				83	4			1535	1565				10.1353/sof.2005.0070							Article	JUN 2005	2005										9	0	0	0	0	0	14			0037-7732	1534-7605														2005-06-01	WOS:000231711800009		
J	Light, DW										Contributing to scholarship and theory through public sociology								SOCIAL FORCES				83	4			1647	1653				10.1353/sof.2005.0071							Article	JUN 2005	2005										4	0	0	0	0	0	5			0037-7732															2005-06-01	WOS:000231711800013		
J	Llamazares, I				Llamazares, Iván/A-6897-2018	Llamazares, Ivan/0000-0003-2947-6830					Patterns in contingencies: The interlocking of formal and informal political institutions in contemporary Argentina								SOCIAL FORCES				83	4			1671	1695				10.1353/sof.2005.0072							Article	JUN 2005	2005										12	0	0	0	0	0	12			0037-7732	1534-7605														2005-06-01	WOS:000231711800016		
J	Luken, PC; Vaughan, S										"... be a genuine homemaker in your own home": Gender and familial relations in state housing practices, 1917-1922								SOCIAL FORCES				83	4			1603	1625				10.1353/sof.2005.0073							Article	JUN 2005	2005										14	0	0	0	0	0	23			0037-7732	1534-7605														2005-06-01	WOS:000231711800011		
J	Manning, WD; Longmore, MA; Giordano, PC					Giordano, Peggy/0000-0002-2484-0886					Adolescents' involvement in non-romantic sexual activity								SOCIAL SCIENCE RESEARCH				34	2			384	407				10.1016/j.ssresearch.2004.03.001							Article; Proceedings Paper	JUN 2005	2005						9th Biennial Meeting of the Society-for-Research-on-Adolescence9th Biennial Meeting of the Society-for-Research-on-Adolescence	APR 11-14, 2002APR 11-14, 2002	Soc Res AdolescenceSoc Res Adolescence	New Orleans, LANew Orleans, LA	137	0	0	0	18	0	178			0049-089X	1096-0317														2005-06-01	WOS:000229512100006		
J	Markovitz, J										Altered lives, enduring community: Japanese Americans remember their World War II incarceration.								SOCIAL FORCES				83	4			1771	1772				10.1353/sof.2005.0074							Book Review	JUN 2005	2005										0	0	0	0	0	0	0			0037-7732															2005-06-01	WOS:000231711800025		
J	Moloney, M										Conceiving risk, bearing responsibility: Fetal alcohol syndrome and the diagnosis of moral disorder.								SOCIAL FORCES				83	4			1769	1771				10.1353/sof.2005.0075							Book Review	JUN 2005	2005										0	0	0	0	0	0	0			0037-7732															2005-06-01	WOS:000231711800024		
J	Ono, H										Marital history homogamy between the divorced and the never married among non-Hispanic whites								SOCIAL SCIENCE RESEARCH				34	2			333	356				10.1016/j.ssresearch.2004.04.002							Article	JUN 2005	2005										8	0	0	0	0	0	13			0049-089X															2005-06-01	WOS:000229512100004		
J	Pager, D; Quillian, L					Quillian, Lincoln/0000-0002-7737-3759					Walking the talk? What employers say versus what they do								AMERICAN SOCIOLOGICAL REVIEW				70	3			355	380				10.1177/000312240507000301							Article	JUN 2005	2005										442	0	0	0	9	2	586			0003-1224															2005-06-01	WOS:000230529700001		
J	Pager, D										Measuring racial discrimination.								SOCIAL FORCES				83	4			1780	1781				10.1353/sof.2005.0076							Book Review	JUN 2005	2005										0	0	0	0	0	0	1			0037-7732															2005-06-01	WOS:000231711800030		
J	Pellerin, LA										Applying Baumrind's parenting typology to high schools: toward a middle-range theory of authoritative socialization								SOCIAL SCIENCE RESEARCH				34	2			283	303				10.1016/j.ssresearch.2004.02.003							Article	JUN 2005	2005										87	0	0	1	3	2	139			0049-089X	1096-0317														2005-06-01	WOS:000229512100002		
J	Perreira, KM; Deeb-Sossa, N; Harris, KM; Bollen, K										What are we measuring? An evaluation of the CES-D across race/ethnicity and immigrant generation								SOCIAL FORCES				83	4			1567	1601				10.1353/sof.2005.0077							Review	JUN 2005	2005										262	0	0	0	38	0	360			0037-7732	1534-7605														2005-06-01	WOS:000231711800010		
J	Pettigrew, TF										The man who shocked the world: The life and legacy of Stanley Milgram.								SOCIAL FORCES				83	4			1778	1779				10.1353/sof.2005.0078							Book Review	JUN 2005	2005										1	0	0	0	0	0	1			0037-7732															2005-06-01	WOS:000231711800029		
J	Reynolds, J				Reynolds, Jeremy/C-3556-2008	Reynolds, Jeremy/0000-0003-1959-6994					You can't always get the hours you want: Mismatches between actual and preferred work hours in the U.S (vol 81, pg 1171, 2003)								SOCIAL FORCES				83	4			1793	1793											Correction	JUN 2005	2005										0	0	0	0	0	0	0			0037-7732															2005-06-01	WOS:000231711800037		
J	Ross, RJS										Monitoring sweatshops: Workers, consumers and the global apparel industry.								SOCIAL FORCES				83	4			1791	1792				10.1353/sof.2005.0079							Book Review	JUN 2005	2005										0	0	0	0	0	0	0			0037-7732															2005-06-01	WOS:000231711800036		
J	Sanderson, SK; Heckert, DA; Dubrow, JK					Dubrow, Joshua/0000-0002-0140-8441					Militarist, marxian, and non-marxian materialist theories of gender inequality: A cross-cultural test								SOCIAL FORCES				83	4			1425	1441				10.1353/sof.2005.0080							Article	JUN 2005	2005										3	0	0	0	1	0	5			0037-7732															2005-06-01	WOS:000231711800005		
J	Shamir, R										Without borders? Notes on globalization as a mobility regime								SOCIOLOGICAL THEORY				23	2			197	217				10.1111/j.0735-2751.2005.00250.x							Article	JUN 2005	2005										274	0	1	0	0	9	325			0735-2751	1467-9558														2005-06-01	WOS:000229080600004		
J	Sobieraj, S										Diminished democracy: From membership to management in American civic life.								SOCIAL FORCES				83	4			1763	1765											Book Review	JUN 2005	2005										1	0	0	0	0	0	1			0037-7732															2005-06-01	WOS:000231711800020		
J	Steensland, B										Cultural trauma and collective identity.								SOCIAL FORCES				83	4			1776	1777				10.1353/sof.2005.0082							Book Review	JUN 2005	2005										1	0	0	0	0	0	2			0037-7732	1534-7605														2005-06-01	WOS:000231711800028		
