PT	AU	BA	CA	GP	RI	OI	BE	Z2	AU	AA	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	VN	VH	DI	D2	L1	L2	L3	EA	SU	DT	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZA	ZB	ZS	Z9	U1	U2	SN	EI	BN	G1	NR	CR	LA	AS	AC	CG	DG	C1	C3	EC	DE	DA	UT	PM	
J	Hallinan, Maureen T.										Teacher influences on students' attachment to school								SOCIOLOGY OF EDUCATION				81	3			271	283				10.1177/003804070808100303							Article	JUL 2008	2008										162	0	0	0	2	1	367			0038-0407															2008-07-01	WOS:000258547900003		
J	Jasper, James M.										Why mobilize ourselves? Collective action theory								AMERICAN JOURNAL OF SOCIOLOGY				114	1			259	260				10.1086/592522							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602															2008-07-01	WOS:000258833100019		
J	Jean, Peter K. B. St.; Weitzer, Ronald										Race and Policing in America: Conflict and reform								AMERICAN JOURNAL OF SOCIOLOGY				114	1			254	256											Book Review	JUL 2008	2008										1	0	0	0	0	0	1			0002-9602	1537-5390														2008-07-01	WOS:000258833100017		
J	Kaminski, Elizabeth										White slave crusades: Race, gender, and anti-vice activism, 1887-1917								AMERICAN JOURNAL OF SOCIOLOGY				114	1			261	263				10.1086/592523							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602	1537-5390														2008-07-01	WOS:000258833100020		
J	Kempner, Joanna										Labour in the Laboratory: Medical laboratory workers in the Maritimes, 1900-1950								AMERICAN JOURNAL OF SOCIOLOGY				114	1			239	240				10.1086/592513							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602															2008-07-01	WOS:000258833100010		
J	Kutner, Nancy										Strange harvest: Organ transplants, denatured bodies, and the transformed self								AMERICAN JOURNAL OF SOCIOLOGY				114	1			234	236				10.1086/592511							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602	1537-5390														2008-07-01	WOS:000258833100008		
J	Liu, Hong				Liu, Hong/AAI-4986-2020						Chinese ethnic business: Global and local perspectives								AMERICAN JOURNAL OF SOCIOLOGY				114	1			278	280				10.1086/592531							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602	1537-5390														2008-07-01	WOS:000258833100028		
J	Ludwig, Jens; Liebman, Jeffrey B.; Kling, Jeffrey R.; Duncan, Greg J.; Katz, Lawrence F.; Kessler, Ronald C.; Sanbonmatsu, Lisa				Kessler, Ronald/A-2741-2012						What can we learn about neighborhood effects from the Moving to Opportunity experiment?								AMERICAN JOURNAL OF SOCIOLOGY				114	1			144	188				10.1086/588741							Article	JUL 2008	2008										195	0	0	0	11	3	262			0002-9602															2008-07-01	WOS:000258833100005		
J	Mann, Charles F.; Matula, David W.; Olinick, Eli V.				Olinick, Eli/CAF-2659-2022						The use of sparsest cuts to reveal the hierarchical community structure of social networks								SOCIAL NETWORKS				30	3			223	234				10.1016/j.socnet.2008.03.004							Article; Proceedings Paper	JUL 2008	2008						8th European Social Network Conference8th European Social Network Conference	MAY 01-06, 2007MAY 01-06, 2007		Corfu Isl, GREECECorfu Isl, GREECE	18	1	0	0	3	0	29			0378-8733	1879-2111														2008-07-01	WOS:000257568200005		
J	McBride, Michael										Religious pluralism and religious participation: A game theoretic analysis								AMERICAN JOURNAL OF SOCIOLOGY				114	1			77	106				10.1086/591289							Article	JUL 2008	2008										37	0	0	0	0	0	43			0002-9602															2008-07-01	WOS:000258833100003		
J	Miller, Laura J.					Miller, Laura/0000-0003-3672-2518					Getting loose: Lifestyle consumption in the 1970s								AMERICAN JOURNAL OF SOCIOLOGY				114	1			271	273				10.1086/592528							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602															2008-07-01	WOS:000258833100025		
J	Mizruchi, Mark S.; Neuman, Eric J.										The effect of density on the level of bias in the network autocorrelation model								SOCIAL NETWORKS				30	3			190	200				10.1016/j.socnet.2008.02.002							Article	JUL 2008	2008										44	1	0	0	6	0	50			0378-8733	1879-2111														2008-07-01	WOS:000257568200002		
J	Morales, Alfonso				Rodriguez-Morales, Alfonso/R-9765-2016	Rodriguez-Morales, Alfonso J./0000-0001-9773-2192					Out of the shadows: Political action and the informal economy in Latin America								AMERICAN JOURNAL OF SOCIOLOGY				114	1			250	252				10.1086/592518							Book Review	JUL 2008	2008										1	0	0	0	0	0	1			0002-9602															2008-07-01	WOS:000258833100015		
J	Mosco, Vincent										The Internet Imaginaire								AMERICAN JOURNAL OF SOCIOLOGY				114	1			269	271				10.1086/592527							Book Review	JUL 2008	2008										0	0	0	0	0	0	0			0002-9602															2008-07-01	WOS:000258833100024		
